FID,cd_recorte,quadro,cd_mun,nm_mun,id
qg_2022_030_munic.276,03011507508,030,1507508,São João do Araguaia,276
qg_2022_030_munic.277,03011507607,030,1507607,São Miguel do Guamá,277
qg_2022_030_munic.278,03011507706,030,1507706,São Sebastião da Boa Vista,278
qg_2022_030_munic.279,03011507755,030,1507755,Sapucaia,279
qg_2022_030_munic.280,03011507805,030,1507805,Senador José Porfírio,280
qg_2022_030_munic.281,03011507904,030,1507904,Soure,281
qg_2022_030_munic.282,03011507953,030,1507953,Tailândia,282
qg_2022_030_munic.283,03011507961,030,1507961,Terra Alta,283
qg_2022_030_munic.284,03011507979,030,1507979,Terra Santa,284
qg_2022_030_munic.285,03011508001,030,1508001,Tomé-Açu,285
qg_2022_030_munic.286,03011508035,030,1508035,Tracuateua,286
qg_2022_030_munic.287,03011508050,030,1508050,Trairão,287
qg_2022_030_munic.288,03011508084,030,1508084,Tucumã,288
qg_2022_030_munic.289,03011508100,030,1508100,Tucuruí,289
qg_2022_030_munic.290,03011508126,030,1508126,Ulianópolis,290
qg_2022_030_munic.291,03011508159,030,1508159,Uruará,291
qg_2022_030_munic.292,03011508209,030,1508209,Vigia,292
qg_2022_030_munic.293,03011508308,030,1508308,Viseu,293
qg_2022_030_munic.294,03011508357,030,1508357,Vitória do Xingu,294
qg_2022_030_munic.295,03011508407,030,1508407,Xinguara,295
qg_2022_030_munic.296,03011600055,030,1600055,Serra do Navio,296
qg_2022_030_munic.297,03011600105,030,1600105,Amapá,297
qg_2022_030_munic.298,03011600154,030,1600154,Pedra Branca do Amapari,298
qg_2022_030_munic.299,03011600204,030,1600204,Calçoene,299
qg_2022_030_munic.300,03011600212,030,1600212,Cutias,300
qg_2022_030_munic.301,03011600238,030,1600238,Ferreira Gomes,301
qg_2022_030_munic.302,03011600253,030,1600253,Itaubal,302
qg_2022_030_munic.303,03011600279,030,1600279,Laranjal do Jari,303
qg_2022_030_munic.304,03011600303,030,1600303,Macapá,304
qg_2022_030_munic.305,03011600402,030,1600402,Mazagão,305
qg_2022_030_munic.306,03011600501,030,1600501,Oiapoque,306
qg_2022_030_munic.307,03011600535,030,1600535,Porto Grande,307
qg_2022_030_munic.308,03011600550,030,1600550,Pracuúba,308
qg_2022_030_munic.309,03011600600,030,1600600,Santana,309
qg_2022_030_munic.310,03011600709,030,1600709,Tartarugalzinho,310
qg_2022_030_munic.311,03011600808,030,1600808,Vitória do Jari,311
qg_2022_030_munic.312,03011700251,030,1700251,Abreulândia,312
qg_2022_030_munic.313,03011700301,030,1700301,Aguiarnópolis,313
qg_2022_030_munic.314,03011700350,030,1700350,Aliança do Tocantins,314
qg_2022_030_munic.315,03011700400,030,1700400,Almas,315
qg_2022_030_munic.316,03011700707,030,1700707,Alvorada,316
qg_2022_030_munic.317,03011701002,030,1701002,Ananás,317
qg_2022_030_munic.318,03011701051,030,1701051,Angico,318
qg_2022_030_munic.319,03011701101,030,1701101,Aparecida do Rio Negro,319
qg_2022_030_munic.320,03011701309,030,1701309,Aragominas,320
qg_2022_030_munic.321,03011701903,030,1701903,Araguacema,321
qg_2022_030_munic.322,03011702000,030,1702000,Araguaçu,322
qg_2022_030_munic.323,03011702109,030,1702109,Araguaína,323
qg_2022_030_munic.324,03011702158,030,1702158,Araguanã,324
qg_2022_030_munic.325,03011702208,030,1702208,Araguatins,325
qg_2022_030_munic.326,03011702307,030,1702307,Arapoema,326
qg_2022_030_munic.327,03011702406,030,1702406,Arraias,327
qg_2022_030_munic.328,03011702554,030,1702554,Augustinópolis,328
qg_2022_030_munic.329,03011702703,030,1702703,Aurora do Tocantins,329
qg_2022_030_munic.330,03011702901,030,1702901,Axixá do Tocantins,330
qg_2022_030_munic.331,03011703008,030,1703008,Babaçulândia,331
qg_2022_030_munic.332,03011703057,030,1703057,Bandeirantes do Tocantins,332
qg_2022_030_munic.333,03011703073,030,1703073,Barra do Ouro,333
qg_2022_030_munic.334,03011703107,030,1703107,Barrolândia,334
qg_2022_030_munic.335,03011703206,030,1703206,Bernardo Sayão,335
qg_2022_030_munic.336,03011703305,030,1703305,Bom Jesus do Tocantins,336
